prompt,response,status,Recommended food
What's a healthy food I can eat if I have Diabetes?,"Yes, Spelt is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Will eating Quinoa help my BMI levels regarding Obesity?,"Yes, Quinoa is generally considered beneficial for managing Obesity. This is primarily because High protein, aids satiety.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What is the impact of eating Popcorn on Obesity?,"No, it is generally recommended to avoid or limit Popcorn if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Should I avoid Papaya if I have Kidney Disease?,"No, it is generally recommended to avoid or limit Papaya if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Does Orange worsen Potassium levels for people with Kidney Disease?,"No, it is generally recommended to avoid or limit Orange if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Is there any food I should absolutely avoid for Kidney Disease?,"No, it is generally recommended to avoid or limit Beef if you have Kidney Disease. The main reason is that High protein load.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Tell me about Olive oil and Heart Disease.,"Yes, Olive oil is generally considered beneficial for managing Heart Disease. This is primarily because Rich in monounsaturated fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
What are the risks of eating Pie with Obesity?,"No, it is generally recommended to avoid or limit Pie if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Will eating Pumpkin help my BMI levels regarding Obesity?,"Yes, Pumpkin is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Should I avoid Dragon fruit if I have Diabetes?,"No, it is generally recommended to avoid or limit Dragon fruit if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
How does Spinach affect Hypertension?,"Yes, Spinach is generally considered beneficial for managing Hypertension. This is primarily because Rich in beneficial compounds (nitrates, etc.).",Good,"Leafy greens (like spinach, which help balance salt levels), Berries (good for blood vessel health), Oats (helps manage cholesterol), Beetroot (helps relax blood vessels), Garlic (helps widen blood vessels for better flow)"
Should I avoid Candy if I have Diabetes?,"No, it is generally recommended to avoid or limit Candy if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Milk and Kidney Disease.,"No, it is generally recommended to avoid or limit Milk if you have Kidney Disease. The main reason is that High in phosphorus/potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
What's a healthy food I can eat if I have Thyroid Disorder?,"Yes, Yogurt is generally considered beneficial for managing Thyroid Disorder. This is primarily because Source of iodine.",Good,"Brazil nuts (helps your thyroid work correctly), Seaweed (provides iodine your thyroid needs), Eggs (good source of iodine and selenium), Pumpkin seeds (helps your body make thyroid hormones), Yogurt (provides iodine and helps your gut absorb nutrients)"
Is Pumpkin seeds good for Heart Disease?,"Yes, Pumpkin seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
How does Leek affect Obesity?,"Yes, Leek is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
How does Sandwich affect Hypertension?,"No, it is generally recommended to avoid or limit Sandwich if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
How does Shawarma affect Obesity?,"No, it is generally recommended to avoid or limit Shawarma if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Pineapple if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the benefits of eating Corn for Obesity?,"Yes, Corn is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Is Kebab bad for Obesity?,"No, it is generally recommended to avoid or limit Kebab if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Should I avoid Energy bar if I have Obesity?,"No, it is generally recommended to avoid or limit Energy bar if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
What is the impact of eating Banana on Diabetes?,"No, it is generally recommended to avoid or limit Banana if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Can I eat Olive oil if I have Hypertension?,"Yes, Olive oil is generally considered beneficial for managing Hypertension. This is primarily because Polyphenols improve vessel function.",Good,"Leafy greens (like spinach, which help balance salt levels), Berries (good for blood vessel health), Oats (helps manage cholesterol), Beetroot (helps relax blood vessels), Garlic (helps widen blood vessels for better flow)"
What's a healthy food I can eat if I have Heart Disease?,"Yes, Sesame seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Should I avoid Muesli if I have Diabetes?,"No, it is generally recommended to avoid or limit Muesli if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is there any food I should absolutely avoid for Hypertension?,"No, it is generally recommended to avoid or limit Burger if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
Tell me about Tamarind and Diabetes.,"No, it is generally recommended to avoid or limit Tamarind if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What is the impact of eating Apricot on Kidney Disease?,"No, it is generally recommended to avoid or limit Apricot if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Will eating Bottle gourd help my BMI levels regarding Obesity?,"Yes, Bottle gourd is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Should I avoid Pomegranate if I have Diabetes?,"No, it is generally recommended to avoid or limit Pomegranate if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Corn and Obesity.,"Yes, Corn is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
How does Spinach affect Kidney Disease?,"No, it is generally recommended to avoid or limit Spinach if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
How does Cake affect Obesity?,"No, it is generally recommended to avoid or limit Cake if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Tell me about Dried mango and Diabetes.,"No, it is generally recommended to avoid or limit Dried mango if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What's a healthy food I can eat if I have Diabetes?,"Yes, Quinoa is generally considered beneficial for managing Diabetes. This is primarily because Whole grain, high protein.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
What's a healthy food I can eat if I have Obesity?,"Yes, Yam is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What are the benefits of eating Spinach for Obesity?,"Yes, Spinach is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Will eating Brazil nut help my LDL levels regarding Heart Disease?,"Yes, Brazil nut is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
"Since I should avoid Dragon fruit for Diabetes, what is a good alternative?","Instead of Dragon fruit, you might consider trying Recommended instead: Quinoa, Oats, Pear. It's often recommended as a better option for managing Diabetes.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Why should I not eat Soy sauce with Hypertension?,"No, it is generally recommended to avoid or limit Soy sauce if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
Does Kebab worsen BMI levels for people with Obesity?,"No, it is generally recommended to avoid or limit Kebab if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Why is Asparagus recommended for Obesity?,"Yes, Asparagus is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What is the impact of eating Kiwi on Kidney Disease?,"No, it is generally recommended to avoid or limit Kiwi if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
What's a healthy food I can eat if I have Obesity?,"Yes, Celery is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Can I eat Yam if I have Obesity?,"Yes, Yam is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Can I eat Brown rice if I have Diabetes?,"Yes, Brown rice is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Should I avoid Tomato if I have Kidney Disease?,"No, it is generally recommended to avoid or limit Tomato if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Why should I not eat Kiwi with Diabetes?,"No, it is generally recommended to avoid or limit Kiwi if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Orange and Kidney Disease.,"No, it is generally recommended to avoid or limit Orange if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Tell me about Spelt and Diabetes.,"Yes, Spelt is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Will eating Broccoli help my BMI levels regarding Obesity?,"Yes, Broccoli is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Why is Onion recommended for Obesity?,"Yes, Onion is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Is there any food I should absolutely avoid for Kidney Disease?,"No, it is generally recommended to avoid or limit Pomegranate if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
What are the risks of eating Raisin with Diabetes?,"No, it is generally recommended to avoid or limit Raisin if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Arugula and Hypertension.,"Yes, Arugula is generally considered beneficial for managing Hypertension. This is primarily because Rich in beneficial compounds (nitrates, etc.).",Good,"Leafy greens (like spinach, which help balance salt levels), Berries (good for blood vessel health), Oats (helps manage cholesterol), Beetroot (helps relax blood vessels), Garlic (helps widen blood vessels for better flow)"
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Dried coconut if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Why is Beetroot recommended for Obesity?,"Yes, Beetroot is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Does Tofu worsen TSH levels for people with Thyroid Disorder?,"No, it is generally recommended to avoid or limit Tofu if you have Thyroid Disorder. The main reason is that Is a goitrogen.",Avoid,"Avoid: Eating large amounts of raw broccoli or cabbage, highly processed soy, and gluten if you're sensitive. Instead try: Cooked broccoli and cabbage, roasted carrots, or grains like quinoa."
Is Eggs good for Thyroid Disorder?,"Yes, Eggs is generally considered beneficial for managing Thyroid Disorder. This is primarily because Rich in selenium and iodine.",Good,"Brazil nuts (helps your thyroid work correctly), Seaweed (provides iodine your thyroid needs), Eggs (good source of iodine and selenium), Pumpkin seeds (helps your body make thyroid hormones), Yogurt (provides iodine and helps your gut absorb nutrients)"
Should I avoid Waffles if I have Obesity?,"No, it is generally recommended to avoid or limit Waffles if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
What is the impact of eating Buckwheat on Diabetes?,"Yes, Buckwheat is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Tell me about Flax seeds and Heart Disease.,"Yes, Flax seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Is Orange bad for Kidney Disease?,"No, it is generally recommended to avoid or limit Orange if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
How does Pastry affect Obesity?,"No, it is generally recommended to avoid or limit Pastry if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Can I eat Swiss chard if I have Obesity?,"Yes, Swiss chard is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Why should I not eat Triticale with Diabetes?,"No, it is generally recommended to avoid or limit Triticale if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Garlic and Obesity.,"Yes, Garlic is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Will eating Cauliflower help my BMI levels regarding Obesity?,"Yes, Cauliflower is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Does Dried apricot worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Dried apricot if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Does Fonio worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Fonio if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Hazelnut and Heart Disease.,"Yes, Hazelnut is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
What's a healthy food I can eat if I have Diabetes?,"Yes, Pear is generally considered beneficial for managing Diabetes. This is primarily because High fiber, lower GI.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
How does Raspberry affect Diabetes?,"Yes, Raspberry is generally considered beneficial for managing Diabetes. This is primarily because High fiber, lower GI.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
What's a healthy food I can eat if I have Obesity?,"Yes, Carrot is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What is the impact of eating Cucumber on Obesity?,"Yes, Cucumber is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
How does Dried apricot affect Diabetes?,"No, it is generally recommended to avoid or limit Dried apricot if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Will eating Radish help my BMI levels regarding Obesity?,"Yes, Radish is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Is Watermelon seeds good for Heart Disease?,"Yes, Watermelon seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
"Since I should avoid French Fries for Hypertension, what is a good alternative?","Instead of French Fries, you might consider trying Recommended instead: Salmon, Olive oil, Kale. It's often recommended as a better option for managing Hypertension.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
Does Watermelon worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Watermelon if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Honey if I have Diabetes?,"No, it is generally recommended to avoid or limit Honey if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the risks of eating Currant with Diabetes?,"No, it is generally recommended to avoid or limit Currant if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the risks of eating Hot dog with Hypertension?,"No, it is generally recommended to avoid or limit Hot dog if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Sago (Sabudana) if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
